Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue,,,,,
SO - 018900,01-Jan-21,3551CA,GUT930,Export,105,7.06831,742,,,,,
SO - 018901,01-Jan-21,3079BA,AXW291,Wholesale,151,134.5,20310,,,,,
SO - 018902,01-Jan-21,3250CA,AXW291,Distributor,300,34.75342,10426,,,,,
SO - 018903,01-Jan-21,1161AA,GUT930,Wholesale,50,136.5925,6830,,,,,
SO - 018904,01-Jan-21,3512AA,GUT930,Distributor,1000,0.10295,103,,,,,
SO - 018905,01-Jan-21,1741BA,AXW291,Distributor,6,1450,8700,,,,,
SO - 018906,01-Jan-21,3462AA,NXH382,Wholesale,50,4.1,205,,,,,
SO - 018907,01-Jan-21,3590BA,GUT930,Distributor,25,115.085,2877,,,,,
SO - 018908,01-Jan-21,3551CA,AXW291,Distributor,98,7.06831,693,,,,,
SO - 018909,01-Jan-21,1479CA,FLR025,Export,3,385.5625,1157,,,,,
SO - 018910,01-Jan-21,1906CA,GUT930,Wholesale,4,1893.75,7575,,,,,
SO - 018911,01-Jan-21,1234BA,GUT930,Wholesale,105,498,52290,,,,,
SO - 018912,01-Jan-21,1630BA,AXW291,Wholesale,4,442.803,1771,,,,,
SO - 018913,01-Jan-21,3619CA,AXW291,Distributor,300,0.7455,224,,,,,
SO - 018914,01-Jan-21,2767AA,AXW291,Export,63,147.86565,9316,,,,,
SO - 018915,01-Jan-21,3407CA,GUT930,Wholesale,1,1017.592,1018,,,,,
SO - 018916,01-Jan-21,2938CA,AXW291,Distributor,1,29.206,29,,,,,
SO - 018917,01-Jan-21,2501CA,NXH382,Wholesale,20,35.12175,702,,,,,
SO - 018918,01-Jan-21,2621AA,AXW291,Wholesale,2,61.78333,124,,,,,
SO - 018919,01-Jan-21,2170BA,NXH382,Distributor,4,305.19,1221,,,,,
SO - 018920,01-Jan-21,1499CA,GUT930,Distributor,5,6600,33000,,,,,
SO - 018921,01-Jan-21,1379CA,NXH382,Wholesale,8,490.18125,3921,,,,,
SO - 018922,01-Jan-21,3533CA,NXH382,Distributor,100,0.64377,64,,,,,
SO - 018923,01-Jan-21,3345AA,AXW291,Wholesale,5,31.06467,155,,,,,
SO - 018924,01-Jan-21,1908AA,AXW291,Wholesale,1,27809.1,27809,,,,,
SO - 018925,01-Jan-21,2930CA,GUT930,Wholesale,3,20.00833,60,,,,,
SO - 018926,01-Jan-21,1624CA,AXW291,Distributor,2,1531.377,3063,,,,,
SO - 018927,01-Jan-21,1499AA,AXW291,Distributor,100,14.22359,1422,,,,,
SO - 018928,01-Jan-21,1464AA,AXW291,Export,3,842.57,2528,,,,,
SO - 018929,01-Jan-21,3551CA,GUT930,Wholesale,500,7.06831,3534,,,,,
SO - 018930,01-Jan-21,3404CA,AXW291,Wholesale,10,396.54,3965,,,,,
SO - 018931,01-Jan-21,2953CA,GUT930,Wholesale,1,1519.82,1520,,,,,
SO - 018932,01-Jan-21,1990AA,AXW291,Distributor,105,545.845,57314,,,,,
SO - 018933,01-Jan-21,3120BA,NXH382,Wholesale,5,1534.88,7674,,,,,
SO - 018934,01-Jan-21,1497CA,NXH382,Wholesale,15,16.71828,251,,,,,
SO - 018935,01-Jan-21,3250CA,AXW291,Distributor,1500,34.75342,52130,,,,,
SO - 018936,01-Jan-21,1971AA,AXW291,Distributor,27.5,321.9469,8854,,,,,
SO - 018937,01-Jan-21,3551CA,AXW291,Wholesale,60,7.06831,424,,,,,
SO - 018938,01-Jan-21,1741BA,AXW291,Wholesale,3,1450,4350,,,,,
SO - 018939,01-Jan-21,1971AA,NXH382,Wholesale,26,321.9469,8371,,,,,
SO - 018940,02-Jan-21,3404CA,AXW291,Wholesale,15,396.54,5948,,,,,
SO - 018941,02-Jan-21,3420AA,FLR025,Wholesale,1,17.255,17,,,,,
SO - 018942,02-Jan-21,2096BA,AXW291,Distributor,2,1524.57667,3049,,,,,
SO - 018943,02-Jan-21,1009AA,GUT930,Wholesale,915,28.76326,26318,,,,,
SO - 018944,02-Jan-21,2935BA,NXH382,Wholesale,5,23.495,117,,,,,
SO - 018945,02-Jan-21,1970CA,AXW291,Export,77.5,244.928,18982,,,,,
SO - 018946,02-Jan-21,2923CA,FLR025,Export,80,20.18857,1615,,,,,
SO - 018947,02-Jan-21,2471CA,AXW291,Export,2450,4.77698,11704,,,,,
SO - 018948,02-Jan-21,2564BA,FLR025,Wholesale,126,309.205,38960,,,,,
SO - 018949,02-Jan-21,3365CA,NXH382,Wholesale,20,13.3248,266,,,,,
SO - 018950,02-Jan-21,1161AA,NXH382,Export,50,136.5925,6830,,,,,
SO - 018951,02-Jan-21,2396CA,AXW291,Wholesale,1400,0.7646,1070,,,,,
SO - 018952,02-Jan-21,1882CA,AXW291,Export,1,19950,19950,,,,,
SO - 018953,02-Jan-21,2234AA,NXH382,Distributor,4,903,3612,,,,,
SO - 018954,02-Jan-21,1994AA,NXH382,Wholesale,50,450.53667,22527,,,,,
SO - 018955,02-Jan-21,3404CA,AXW291,Export,2,396.54,793,,,,,
SO - 018956,02-Jan-21,2673BA,AXW291,Wholesale,276,13,3588,,,,,
SO - 018957,02-Jan-21,1385CA,AXW291,Distributor,14,1781.5475,24942,,,,,
SO - 018958,02-Jan-21,1906CA,AXW291,Export,1,1893.75,1894,,,,,
SO - 018959,02-Jan-21,1484BA,AXW291,Wholesale,1,0.2,0,,,,,
SO - 018960,02-Jan-21,2953BA,NXH382,Export,90,47.90925,4312,,,,,
SO - 018961,02-Jan-21,1295CA,AXW291,Export,1,175000,175000,,,,,
SO - 018962,02-Jan-21,1994AA,NXH382,Wholesale,67.5,450.53667,30411,,,,,
SO - 018963,02-Jan-21,3160BA,AXW291,Wholesale,3,270.909,813,,,,,
SO - 018964,02-Jan-21,3399AA,AXW291,Wholesale,27,194.753,5258,,,,,
SO - 018965,02-Jan-21,1499CA,AXW291,Export,3,6600,19800,,,,,
SO - 018966,02-Jan-21,3399AA,GUT930,Wholesale,1,194.753,195,,,,,
SO - 018967,02-Jan-21,1382CA,AXW291,Distributor,7,613.52125,4295,,,,,
SO - 018968,02-Jan-21,1497CA,FLR025,Distributor,240,16.71828,4012,,,,,
SO - 018969,02-Jan-21,1979AA,GUT930,Wholesale,25,278.638,6966,,,,,
SO - 018970,02-Jan-21,3533CA,AXW291,Wholesale,2000,0.64377,1288,,,,,
SO - 018971,02-Jan-21,2331CA,NXH382,Distributor,153,210.12419,32149,,,,,
SO - 018972,02-Jan-21,2501CA,AXW291,Wholesale,693,35.12175,24339,,,,,
SO - 018973,02-Jan-21,2953CA,AXW291,Wholesale,4,1519.82,6079,,,,,
SO - 018974,02-Jan-21,3143CA,FLR025,Distributor,10,47.764,478,,,,,
SO - 018975,02-Jan-21,1956AA,AXW291,Distributor,1,573.09,573,,,,,
SO - 018976,02-Jan-21,2170BA,AXW291,Wholesale,2,305.19,610,,,,,
SO - 018977,02-Jan-21,1630BA,FLR025,Wholesale,2,442.803,886,,,,,
SO - 018978,02-Jan-21,1317CA,NXH382,Distributor,1,4908.7,4909,,,,,
SO - 018979,02-Jan-21,2508BA,AXW291,Wholesale,1,463.1,463,,,,,
SO - 018980,02-Jan-21,2498BA,AXW291,Distributor,1,1474.56,1475,,,,,
SO - 018981,02-Jan-21,2600BA,AXW291,Distributor,18,1467.79,26420,,,,,
SO - 018982,02-Jan-21,1497CA,NXH382,Wholesale,100,16.71828,1672,,,,,
SO - 018983,03-Jan-21,1993AA,GUT930,Distributor,1225,83.75125,102595,,,,,
SO - 018984,03-Jan-21,2640BA,GUT930,Wholesale,140,444.45667,62224,,,,,
SO - 018985,03-Jan-21,2484BA,GUT930,Distributor,29,239.67286,6951,,,,,
SO - 018986,03-Jan-21,3420AA,AXW291,Wholesale,2,17.255,35,,,,,
SO - 018987,03-Jan-21,3461CA,AXW291,Distributor,3,30.064,90,,,,,
SO - 018988,03-Jan-21,1077CA,FLR025,Wholesale,1000,22.9777,22978,,,,,
SO - 018989,03-Jan-21,1497CA,GUT930,Distributor,231,16.71828,3862,,,,,
SO - 018990,03-Jan-21,1624CA,GUT930,Distributor,4,1531.377,6126,,,,,
SO - 018991,03-Jan-21,1907AA,AXW291,Wholesale,1,6617.42,6617,,,,,
SO - 018992,03-Jan-21,1130AA,GUT930,Wholesale,7302,17.26609,126077,,,,,
SO - 018993,03-Jan-21,1382CA,AXW291,Wholesale,9,613.52125,5522,,,,,
SO - 018994,03-Jan-21,1945AA,FLR025,Wholesale,1,965,965,,,,,
SO - 018995,03-Jan-21,2604CA,GUT930,Distributor,5,129.04,645,,,,,
SO - 018996,03-Jan-21,1993AA,AXW291,Wholesale,450,83.75125,37688,,,,,
SO - 018997,03-Jan-21,3250CA,NXH382,Export,50,34.75342,1738,,,,,
SO - 018998,03-Jan-21,3075AA,AXW291,Export,2,60.38,121,,,,,
SO - 018999,03-Jan-21,3075AA,AXW291,Distributor,1,60.38,60,,,,,
SO - 019000,03-Jan-21,2970CA,GUT930,Export,1,512.205,512,,,,,
SO - 019001,03-Jan-21,2229AA,GUT930,Distributor,3,1054.24333,3163,,,,,
SO - 019002,03-Jan-21,3345AA,FLR025,Export,3,31.06467,93,,,,,
SO - 019003,03-Jan-21,2953CA,NXH382,Distributor,1,1519.82,1520,,,,,
SO - 019004,03-Jan-21,3512AA,NXH382,Distributor,445,0.10295,46,,,,,
SO - 019005,03-Jan-21,2956AA,GUT930,Wholesale,5,12.02259,60,,,,,
SO - 019006,03-Jan-21,3079BA,NXH382,Wholesale,18,134.5,2421,,,,,
SO - 019007,03-Jan-21,2342CA,NXH382,Export,63,2.77685,175,,,,,
SO - 019008,03-Jan-21,1077CA,AXW291,Export,100,22.9777,2298,,,,,
SO - 019009,03-Jan-21,2234AA,AXW291,Distributor,2,903,1806,,,,,
SO - 019010,03-Jan-21,3551CA,AXW291,Distributor,200,7.06831,1414,,,,,
SO - 019011,03-Jan-21,2315BA,FLR025,Wholesale,6,14.9222,90,,,,,
SO - 019012,03-Jan-21,3590BA,AXW291,Wholesale,15,115.085,1726,,,,,
SO - 019013,03-Jan-21,3619CA,AXW291,Wholesale,50,0.7455,37,,,,,
SO - 019014,03-Jan-21,3502BA,AXW291,Export,20,1234.335,24687,,,,,
SO - 019015,03-Jan-21,1009AA,NXH382,Export,140,28.76326,4027,,,,,
SO - 019016,03-Jan-21,3143CA,NXH382,Wholesale,4,47.764,191,,,,,
SO - 019017,03-Jan-21,1695CA,FLR025,Distributor,1,1649.3,1649,,,,,
SO - 019018,03-Jan-21,1145BA,GUT930,Distributor,22,85.30066,1877,,,,,
SO - 019019,03-Jan-21,2953BA,GUT930,Wholesale,60,47.90925,2875,,,,,
SO - 019020,03-Jan-21,1130AA,GUT930,Export,988,17.26609,17059,,,,,
SO - 019021,03-Jan-21,1992AA,NXH382,Distributor,210,586.3916,123142,,,,,
SO - 019022,03-Jan-21,2977BA,FLR025,Wholesale,369,52.8,19483,,,,,
SO - 019023,03-Jan-21,2315BA,NXH382,Export,35,14.9222,522,,,,,
SO - 019024,03-Jan-21,1956CA,GUT930,Wholesale,2,1250,2500,,,,,
SO - 019025,03-Jan-21,2315BA,GUT930,Wholesale,84,14.9222,1253,,,,,
SO - 019026,04-Jan-21,2606AA,AXW291,Export,2,2041.52333,4083,,,,,
SO - 019027,04-Jan-21,1499CA,GUT930,Wholesale,6,6600,39600,,,,,
SO - 019028,04-Jan-21,1511CA,AXW291,Wholesale,10,6.787,68,,,,,
SO - 019029,04-Jan-21,3420AA,AXW291,Distributor,2,17.255,35,,,,,
SO - 019030,04-Jan-21,2763CA,AXW291,Export,162,10.08731,1634,,,,,
SO - 019031,04-Jan-21,2039CA,NXH382,Wholesale,10,449.75,4498,,,,,
SO - 019032,04-Jan-21,2277AA,AXW291,Wholesale,120,6.37172,765,,,,,
SO - 019033,04-Jan-21,2041CA,GUT930,Distributor,2,648.42,1297,,,,,
SO - 019034,04-Jan-21,1497CA,NXH382,Export,263,16.71828,4397,,,,,
SO - 019035,04-Jan-21,3193AA,NXH382,Wholesale,2,1425,2850,,,,,
SO - 019036,04-Jan-21,1145BA,AXW291,Wholesale,74,85.30066,6312,,,,,
SO - 019037,04-Jan-21,1499AA,FLR025,Wholesale,298,14.22359,4239,,,,,
SO - 019038,04-Jan-21,2565CA,AXW291,Wholesale,10,463.03583,4630,,,,,
SO - 019039,04-Jan-21,3345AA,AXW291,Distributor,10,31.06467,311,,,,,
SO - 019040,04-Jan-21,1630BA,AXW291,Distributor,10,442.803,4428,,,,,
SO - 019041,04-Jan-21,1908AA,AXW291,Wholesale,1,27809.1,27809,,,,,
SO - 019042,04-Jan-21,2763CA,AXW291,Wholesale,4381,10.08731,44193,,,,,
SO - 019043,04-Jan-21,3556AA,FLR025,Wholesale,20,1077.43125,21549,,,,,
SO - 019044,04-Jan-21,2847BA,AXW291,Wholesale,126,241.79216,30466,,,,,
SO - 019045,04-Jan-21,2236CA,AXW291,Wholesale,5,1617.335,8087,,,,,
SO - 019046,04-Jan-21,2326CA,GUT930,Distributor,97,63.5592,6165,,,,,
SO - 019047,04-Jan-21,2938CA,NXH382,Wholesale,3,29.206,88,,,,,
SO - 019048,04-Jan-21,2041CA,AXW291,Export,3,648.42,1945,,,,,
SO - 019049,04-Jan-21,1497CA,AXW291,Wholesale,4,16.71828,67,,,,,
SO - 019050,04-Jan-21,1283CA,NXH382,Wholesale,1,98333.33,98333,,,,,
SO - 019051,04-Jan-21,1964BA,GUT930,Wholesale,332.5,99.12769,32960,,,,,
SO - 019052,04-Jan-21,3413AA,AXW291,Wholesale,10,35.3004,353,,,,,
SO - 019053,04-Jan-21,3461CA,AXW291,Wholesale,5,30.064,150,,,,,
SO - 019054,04-Jan-21,1161AA,NXH382,Distributor,46,136.5925,6283,,,,,
SO - 019055,04-Jan-21,1994AA,AXW291,Wholesale,85,450.53667,38296,,,,,
SO - 019056,04-Jan-21,2714CA,NXH382,Wholesale,330,49.79846,16433,,,,,
SO - 019057,04-Jan-21,1953AA,AXW291,Wholesale,1,947.56,948,,,,,
SO - 019058,04-Jan-21,2564BA,FLR025,Wholesale,420,309.205,129866,,,,,
SO - 019059,04-Jan-21,2220BA,NXH382,Distributor,5,752,3760,,,,,
SO - 019060,04-Jan-21,2508BA,AXW291,Wholesale,1,463.1,463,,,,,
SO - 019061,04-Jan-21,3365CA,AXW291,Export,3,13.3248,40,,,,,
SO - 019062,04-Jan-21,3358BA,AXW291,Wholesale,1,1363.64,1364,,,,,
SO - 019063,04-Jan-21,3016BA,AXW291,Wholesale,7,20005.8,140041,,,,,
SO - 019064,04-Jan-21,1514BA,FLR025,Wholesale,1,332.8,333,,,,,
SO - 019065,04-Jan-21,1882CA,NXH382,Wholesale,1,19950,19950,,,,,
SO - 019066,04-Jan-21,2935BA,NXH382,Wholesale,20,23.495,470,,,,,
SO - 019067,04-Jan-21,1695CA,GUT930,Wholesale,1,1649.3,1649,,,,,
SO - 019068,04-Jan-21,2680BA,AXW291,Export,17,215.57,3665,,,,,
SO - 019069,05-Jan-21,2956AA,NXH382,Wholesale,49,12.02259,589,,,,,
